"ParasiteCheckedBinomial","close","sexual","vertical","closenonsexual","nonclose","environment","soil","water","feces","vector","intermediate","direct","indirect","Par.Type","Par.Phylum","Par.Class"
"Cooperia rotundispiculum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia yoshidai",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperia zurnabada",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperioides antidorca",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperioides hamiltoni",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Cooperioides hepaticae",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Corynebacterium bovis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria"
"Corynebacterium phocae",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria"
"Corynebacterium pseudotuberculosis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria"
"Corynebacterium ulcerans",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria"
"Corynebacterium xerosis",1,0,0,1,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteria","Actinobacteria"
"Corynosoma australe",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma clavatum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma enhydri",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma hadweni",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma magdaleni",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma obtuscens",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma rauschi",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma reductum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma semerme",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma strumosum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma validum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma ventronudum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma villosum",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Corynosoma wegeneri",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Acanthocephala","Palaeacanthocephala"
"Cotylophoron indicum",0,0,0,0,1,1,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Cotylophoron jacksoni",0,0,0,0,1,1,0,0,0,0,1,0,0,"Helminth","Platyhelminthes","Trematoda"
"Coxiella burnetii",1,1,1,1,1,1,1,0,1,1,0,1,1,"Bacteria","Proteobacteria","Gammaproteobacteria"
"Craterostomum acuticaudatum",0,0,0,0,1,1,0,0,1,0,0,0,0,"Helminth","Nematoda","Chromadorea"
"Crenosoma goblei",0,0,0,0,0,0,0,0,0,0,1,0,0,"Helminth","Nematoda","Chromadorea"
